t_rosbag_ns,stamp_sec,stamp_nanosec,frame_id,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1778601173915993008,1778601173,915731995,livox_frame,0.0,0.0,0.0,1.0,-0.011291056871414185,0.0006349813193082809,-0.001723303459584713,-0.0018572035478428006,-0.010091559961438179,0.9768399000167847
1778601173920501903,1778601173,920184216,livox_frame,0.0,0.0,0.0,1.0,-0.0017036758363246918,0.0038307737559080124,-0.001723303459584713,9.592145215719938e-05,-0.01839234121143818,0.9595059156417847
1778601173925765336,1778601173,925578421,livox_frame,0.0,0.0,0.0,1.0,0.0014921166002750397,-0.0025608129799365997,-0.001723303459584713,-0.006251734681427479,-0.01936890371143818,0.9648770093917847
1778601173930061388,1778601173,929810416,livox_frame,0.0,0.0,0.0,1.0,-0.0006384104490280151,-0.010017664171755314,-0.003853832371532917,-0.004786890931427479,-0.0020349198020994663,1.0041836500167847
1778601173935867947,1778601173,935700338,livox_frame,0.0,0.0,0.0,1.0,-0.008095262572169304,-0.006821870803833008,-0.002788567915558815,-0.002345484681427479,0.007974846288561821,1.0119961500167847
1778601173940184601,1778601173,939989220,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0036260774359107018,-0.003853832371532917,-0.006740015931427479,-0.0008142166770994663,0.9978359937667847
1778601173945731340,1778601173,945569174,livox_frame,0.0,0.0,0.0,1.0,-0.012356320396065712,-0.0004302840679883957,-0.002788567915558815,-0.0011247816728428006,-0.006917732302099466,0.9914883375167847
1778601173950046910,1778601173,949886370,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,0.002765510231256485,-0.002788567915558815,-0.0016130629228428006,-0.013753669336438179,0.9682949781417847
1778601173955831485,1778601173,955696798,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.004691341891884804,-0.002788567915558815,-0.002833765931427479,-0.01692749746143818,0.9707363843917847
1778601173960333138,1778601173,960035249,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.004691341891884804,-0.002788567915558815,-0.005275172181427479,-0.01643921621143818,0.9814785718917847
1778601173965861348,1778601173,965698024,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,-0.0036260774359107018,-0.002788567915558815,-0.005763453431427479,0.008951408788561821,1.0054043531417847
1778601173970081887,1778601173,969950517,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,-0.0036260774359107018,-0.002788567915558815,-0.005763453431427479,0.008951408788561821,1.0054043531417847
1778601173975760379,1778601173,975697048,livox_frame,0.0,0.0,0.0,1.0,-0.0048994701355695724,-0.004691341891884804,-0.002788567915558815,-0.004054469056427479,-0.015218513086438179,0.9736660718917847
1778601173980108756,1778601173,979949333,livox_frame,0.0,0.0,0.0,1.0,-0.0048994701355695724,-0.004691341891884804,-0.002788567915558815,-0.004054469056427479,-0.015218513086438179,0.9736660718917847
1778601173985863101,1778601173,985702275,livox_frame,0.0,0.0,0.0,1.0,-0.0027689412236213684,-0.0014955485239624977,-0.002788567915558815,-0.005519312806427479,-0.013753669336438179,0.9748867750167847
1778601173990270975,1778601173,990106463,livox_frame,0.0,0.0,0.0,1.0,-0.0027689412236213684,-0.0014955485239624977,-0.002788567915558815,-0.005519312806427479,-0.013753669336438179,0.9748867750167847
1778601173995818115,1778601173,995562055,livox_frame,0.0,0.0,0.0,1.0,-0.0017036758363246918,-0.00788713525980711,-0.002788567915558815,-0.005275172181427479,0.00016234582290053368,1.0034512281417847
1778601173999991659,1778601173,999860679,livox_frame,0.0,0.0,0.0,1.0,-0.0017036758363246918,-0.00788713525980711,-0.002788567915558815,-0.005275172181427479,0.00016234582290053368,1.0034512281417847
1778601174005969972,1778601174,5702560,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0014955485239624977,-0.002788567915558815,-0.005519312806427479,0.0018713301979005337,0.9966152906417847
1778601174010368891,1778601174,9953568,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0014955485239624977,-0.002788567915558815,-0.005519312806427479,0.0018713301979005337,0.9966152906417847
1778601174016110290,1778601174,15726187,livox_frame,0.0,0.0,0.0,1.0,-0.0059647336602211,0.004896039143204689,-0.002788567915558815,-0.0018572035478428006,-0.01717163808643818,0.9585293531417847
1778601174020342529,1778601174,20106050,livox_frame,0.0,0.0,0.0,1.0,-0.0059647336602211,0.004896039143204689,-0.002788567915558815,-0.0018572035478428006,-0.01717163808643818,0.9585293531417847
1778601174026094267,1778601174,25713812,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.00788713525980711,-0.002788567915558815,-0.006251734681427479,-0.0032556229270994663,0.9951504468917847
1778601174030228102,1778601174,29799199,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.00788713525980711,-0.002788567915558815,-0.006251734681427479,-0.0032556229270994663,0.9951504468917847
1778601174036025329,1778601174,35698843,livox_frame,0.0,0.0,0.0,1.0,-0.014486849308013916,-0.0036260774359107018,-0.003853832371532917,-0.004298609681427479,0.008218986913561821,1.0085781812667847
1778601174040450157,1778601174,40024749,livox_frame,0.0,0.0,0.0,1.0,-0.014486849308013916,-0.0036260774359107018,-0.003853832371532917,-0.004298609681427479,0.008218986913561821,1.0085781812667847
1778601174046082776,1778601174,45697858,livox_frame,0.0,0.0,0.0,1.0,-0.008095262572169304,0.0017002448439598083,-0.003853832371532917,-0.0006365004228428006,-0.014486091211438179,0.9687832593917847
1778601174050322691,1778601174,49927731,livox_frame,0.0,0.0,0.0,1.0,-0.008095262572169304,0.0017002448439598083,-0.003853832371532917,-0.0006365004228428006,-0.014486091211438179,0.9687832593917847
1778601174056070612,1778601174,55699424,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.0025608129799365997,-0.001723303459584713,-0.004542750306427479,-0.013265388086438179,0.9770840406417847
1778601174060272030,1778601174,59902482,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.0025608129799365997,-0.001723303459584713,-0.004542750306427479,-0.013265388086438179,0.9770840406417847
1778601174065975936,1778601174,65694933,livox_frame,0.0,0.0,0.0,1.0,-0.011291056871414185,-0.006821870803833008,-0.003853832371532917,-0.005031031556427479,0.010416252538561821,1.0073574781417847
1778601174070305681,1778601174,69984052,livox_frame,0.0,0.0,0.0,1.0,-0.011291056871414185,-0.006821870803833008,-0.003853832371532917,-0.005031031556427479,0.010416252538561821,1.0073574781417847
1778601174076009113,1778601174,75698226,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,-0.0036260774359107018,-0.002788567915558815,-0.007716578431427479,-0.01668335683643818,0.9756191968917847
1778601174080246391,1778601174,79797165,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,-0.0036260774359107018,-0.002788567915558815,-0.007716578431427479,-0.01668335683643818,0.9756191968917847
1778601174086048982,1778601174,85696168,livox_frame,0.0,0.0,0.0,1.0,-0.003834204748272896,-0.0004302840679883957,-0.002788567915558815,-0.003810328431427479,-0.010823981836438179,0.9753750562667847
1778601174090505830,1778601174,90088987,livox_frame,0.0,0.0,0.0,1.0,-0.0006384104490280151,-0.0036260774359107018,-0.001723303459584713,-0.004298609681427479,-0.013021247461438179,0.9851406812667847
1778601174096099304,1778601174,95704251,livox_frame,0.0,0.0,0.0,1.0,-0.0027689412236213684,-0.00788713525980711,-0.002788567915558815,-0.006740015931427479,-0.0025232010520994663,0.9929531812667847
1778601174100406870,1778601174,100006544,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,-0.004691341891884804,-0.002788567915558815,-0.006740015931427479,-0.0025232010520994663,0.9929531812667847
1778601174106118374,1778601174,105705987,livox_frame,0.0,0.0,0.0,1.0,-0.012356320396065712,-0.0025608129799365997,-0.002788567915558815,-0.004298609681427479,-0.0010583573020994663,0.9963711500167847
1778601174110253721,1778601174,109905892,livox_frame,0.0,0.0,0.0,1.0,-0.012356320396065712,-0.0025608129799365997,-0.002788567915558815,-0.004298609681427479,-0.0010583573020994663,0.9963711500167847
1778601174116068449,1778601174,115721742,livox_frame,0.0,0.0,0.0,1.0,-0.0059647336602211,0.0017002448439598083,-0.001723303459584713,-0.0013689222978428006,-0.012044684961438179,0.9663418531417847
1778601174120746611,1778601174,120231815,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,0.0017002448439598083,-0.001723303459584713,-0.002833765931427479,-0.02181030996143818,0.9643887281417847
1778601174126033140,1778601174,125694489,livox_frame,0.0,0.0,0.0,1.0,0.0025573819875717163,-0.008952399715781212,-0.002788567915558815,-0.006984156556427479,-0.012288825586438179,0.9863613843917847
1778601174130180845,1778601174,129922131,livox_frame,0.0,0.0,0.0,1.0,-0.0017036758363246918,-0.006821870803833008,-0.002788567915558815,-0.004542750306427479,0.0028478926979005337,1.0180996656417847
1778601174135949080,1778601174,135726650,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.004691341891884804,-0.002788567915558815,-0.006984156556427479,0.010904533788561821,1.0102871656417847
1778601174140054818,1778601174,139784098,livox_frame,0.0,0.0,0.0,1.0,-0.015552114695310593,-0.0014955485239624977,-0.003853832371532917,-0.002345484681427479,-0.0030114823020994663,0.9922207593917847
1778601174146022658,1778601174,145699449,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,0.0006349813193082809,-0.003853832371532917,-0.0008806410478428006,-0.014486091211438179,0.9690274000167847
1778601174150252898,1778601174,149964246,livox_frame,0.0,0.0,0.0,1.0,-0.0048994701355695724,0.0038307737559080124,-0.001723303459584713,0.0005842027021571994,-0.01619507558643818,0.9656094312667847
1778601174156061053,1778601174,155717572,livox_frame,0.0,0.0,0.0,1.0,0.0014921166002750397,-0.0004302840679883957,-0.004919096827507019,-0.004542750306427479,-0.012777106836438179,0.9707363843917847
1778601174159989214,1778601174,159822459,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,-0.006821870803833008,-0.003853832371532917,-0.006007594056427479,-0.006917732302099466,0.9927090406417847
1778601174165984754,1778601174,165695546,livox_frame,0.0,0.0,0.0,1.0,-0.00916052795946598,-0.00788713525980711,-0.004919096827507019,-0.006984156556427479,0.008951408788561821,1.0100430250167847
1778601174170304327,1778601174,170089193,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,0.0006349813193082809,-0.002788567915558815,0.0018049058271571994,0.006754142697900534,1.0051602125167847
1778601174175968981,1778601174,175739834,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,0.0017002448439598083,-0.003853832371532917,-0.008204859681427479,-0.015462653711438179,0.9775723218917847
1778601174180005092,1778601174,179775050,livox_frame,0.0,0.0,0.0,1.0,-0.0048994701355695724,-0.0036260774359107018,-0.004919096827507019,-0.0008806410478428006,-0.008870856836438179,0.9719570875167847
1778601174185967611,1778601174,185709589,livox_frame,0.0,0.0,0.0,1.0,-0.003834204748272896,0.0038307737559080124,-0.003853832371532917,9.592145215719938e-05,-0.008382575586438179,0.9743984937667847
1778601174190362426,1778601174,189975523,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,-0.004691341891884804,-0.002788567915558815,-0.005519312806427479,-0.01741577871143818,0.9712246656417847
1778601174195958969,1778601174,195709020,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,-0.006821870803833008,-0.001723303459584713,-0.004786890931427479,-0.005697029177099466,0.9927090406417847
1778601174200213297,1778601174,200011194,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,-0.005756606347858906,-0.001723303459584713,-0.005275172181427479,0.006754142697900534,1.0122402906417847
1778601174205980307,1778601174,205698411,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0014955485239624977,-0.002788567915558815,-0.006495875306427479,0.005533439572900534,1.0054043531417847
1778601174210339856,1778601174,209999831,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0025608129799365997,-0.002788567915558815,-0.003810328431427479,-0.0025232010520994663,0.9883145093917847
1778601174216116615,1778601174,215718946,livox_frame,0.0,0.0,0.0,1.0,-0.008095262572169304,0.0017002448439598083,-0.002788567915558815,-0.0008806410478428006,-0.01717163808643818,0.9712246656417847
1778601174220505132,1778601174,220162804,livox_frame,0.0,0.0,0.0,1.0,-0.0006384104490280151,0.0006349813193082809,-0.003853832371532917,-0.002589625306427479,-0.01668335683643818,0.9651211500167847
1778601174225994956,1778601174,225812499,livox_frame,0.0,0.0,0.0,1.0,0.0014921166002750397,-0.0025608129799365997,-0.001723303459584713,-0.004786890931427479,-0.012532966211438179,0.9839199781417847
1778601174230068942,1778601174,229942456,livox_frame,0.0,0.0,0.0,1.0,-0.0027689412236213684,-0.00788713525980711,-0.002788567915558815,-0.008204859681427479,0.0023596114479005337,0.9990566968917847
1778601174235924601,1778601174,235697219,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,-0.0025608129799365997,-0.002788567915558815,-0.004298609681427479,0.006021720822900534,1.0100430250167847
1778601174240158474,1778601174,239875199,livox_frame,0.0,0.0,0.0,1.0,-0.010225791484117508,-0.0014955485239624977,-0.003853832371532917,-0.002833765931427479,-0.0034997635520994663,0.9971035718917847
1778601174245987242,1778601174,245694187,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,-0.0004302840679883957,-0.002788567915558815,-0.004542750306427479,-0.007894294336438179,0.9731777906417847
1778601174250408612,1778601174,249999190,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,0.0006349813193082809,-0.002788567915558815,9.592145215719938e-05,-0.013997809961438179,0.9739102125167847
1778601174256020875,1778601174,255696275,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,-0.0004302840679883957,-0.001723303459584713,-0.005275172181427479,-0.01765991933643818,0.9670742750167847
1778601174260230964,1778601174,259885357,livox_frame,0.0,0.0,0.0,1.0,0.00042685121297836304,-0.005756606347858906,-0.002788567915558815,-0.004786890931427479,-0.010335700586438179,0.9883145093917847
1778601174266061944,1778601174,265693503,livox_frame,0.0,0.0,0.0,1.0,-0.0059647336602211,-0.006821870803833008,-0.003853832371532917,-0.005519312806427479,0.004556877072900534,1.0115078687667847
1778601174270228931,1778601174,269962153,livox_frame,0.0,0.0,0.0,1.0,-0.011291056871414185,-0.0004302840679883957,-0.002788567915558815,-0.0013689222978428006,0.009195549413561821,1.0066250562667847
1778601174276027711,1778601174,275707230,livox_frame,0.0,0.0,0.0,1.0,-0.013421585783362389,0.0006349813193082809,-0.002788567915558815,-0.006251734681427479,-0.012532966211438179,0.9805020093917847
1778601174280289762,1778601174,279985869,livox_frame,0.0,0.0,0.0,1.0,-0.0070299990475177765,-0.0036260774359107018,-0.002788567915558815,-0.002101344056427479,-0.011312263086438179,0.9729336500167847
