,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
mean,-0.00615791469271039,-0.0024996849683833586,-0.003151806448342924,-0.003811227542720419,-0.006069129076406124,0.9869115404149693
std,0.005865881357235552,0.00384140981099262,0.0007896884588232741,0.0031840247778282833,0.009728435040633879,0.017249002459431808
min,-0.0645542815327644,-0.0334534831345081,-0.0059843612834811,-0.0536150150001049,-0.0401208586990833,0.8237637281417847
max,0.0441026948392391,0.0304623879492282,0.0004072254523634,0.046726781874895,0.0609533600509166,1.125033259391785
